e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
10035.4,10042,10044.7,10170.8,10117.7,10132.8,10139.5,10106.2,10109.4,10142.4,10131,10092.7,10086.8,10290.6,10259.2,10336.1,336.2,96.5,89.9,88.8
10043.6,10037.2,10056.3,10057.1,10047.8,10043.3,61.8,75.1,82.6,444.7,272.3,228,216.1,183.7,216.3,332.1,317.6,262.3,203.5,233.8
10062.6,10091.6,10089.1,10160.4,10138.8,10162,320.5,239.7,174.9,184.4,259.6,347.3,369,405.7,447.8,620.5,365.6,310.9,129.3,129.5
10059.8,10118.9,10082.5,10082.9,10137.4,10166.1,10249.3,10227.6,10228.1,10187.2,10191.8,10191.2,10255.2,10514.4,424.7,302.8,394.7,88.6,89.3,114.6
10058.7,10061.9,10064.3,10055.2,10072.4,10185.9,10088.1,10095.2,10111.8,10103.7,10085.5,10066.1,10047.5,10068,10155.5,10158.9,10152.1,10141,10313.2,10299.2
10030,10030.1,10115.8,10130.6,10078.6,10060.9,10081.9,10088.4,10082.7,10110.4,10135.6,10148.2,10134.8,10154.2,10454.1,10422.3,339.9,315.4,266.7,258.8
10056.3,10058.2,10059.3,10057.7,10055.9,10057.5,10229.2,10285.7,10302.5,183,182.8,185.7,234.9,138.5,213.5,326.7,61.4,62.4,65.3,73.6
10110.1,10112.1,10079,10086.4,10165.6,10201.1,391.5,365.9,249.8,359.2,426,439.4,414.3,417.8,265.3,199.6,223.3,212.2,404.5,485
10029.3,10023.2,10017.8,10019.1,10028.5,10237.5,10253.7,10439.8,561.8,98.4,69.3,49.3,46.2,46.9,43.7,40.2,50.3,46.3,43.8,61.7
10074.4,10072.6,10071.1,10269.9,10334.3,10122.5,174.4,138.4,133.1,10190.9,10242.5,10267.2,10328.4,10445.5,10380.9,421.2,418.4,456,414.2,464.5
10013.7,10025.9,10027.8,10024.3,10077.2,10358.9,10168.8,101.5,90,100.1,10163.5,10167.6,10135.8,10259.9,10168.8,504.3,471.9,401.8,229.2,485.2
10108.7,10094.7,10081.5,10176.9,10170.5,10166.9,10105.5,10126.1,10352.5,10468.7,10475.8,10566.9,525.7,603.8,662.9,246.2,376.3,445.8,339.8,70
10151.4,10114.6,10126.6,10130.2,10196.6,10279.2,10324,10336.7,10393.8,10301,10324.3,10433.8,431.1,261.3,161.5,77,66.1,169.3,53.3,202.1
149,134.4,136.4,131.5,10162.7,10203.3,10216.6,228.2,225.4,230.9,211.6,228,208.7,201.5,205.4,274.9,50.3,61.7,61.3,168.1
10270.2,322,273.3,323.9,234,219.9,246.3,162.2,270.4,68,60.2,150.5,219.1,209.6,207.8,245.3,246.4,231.4,211.2,199.7
10064,10052.7,10042.1,10034.4,23.5,27.3,312,409.2,270.5,254.4,292.9,331.2,79.1,90.4,83.5,94,104.3,126,117.3,78.3
10075.4,10053.9,10103.3,10103,10065.6,10101.2,10115.5,10185.8,10080.6,10208.4,10272.8,291.3,202.8,268.9,386.9,315.9,444.3,163.4,137.3,112.3
10005.2,10111,10110.3,10112.2,10059.8,10037.8,10068.1,10036.1,10030.1,10028.3,10026.1,10030.1,10029,10033.2,10027.4,10027.5,10088.7,376.3,238.7,429.7
10050.2,10139.3,10125.1,10079.7,10090.1,77.7,61.1,47,43.9,44.6,51.5,220.1,218.5,388.7,501,275.8,286.3,286.8,334.1,300.8
10019.8,10009.8,10010.1,10009.1,10019.7,10024.8,10076.6,10078,10122.5,10250.6,10325.5,10424.8,10576.1,374.6,225.3,281.7,260,35.8,32.7,27.1
10023.6,10024.7,10029.1,10036.5,10041,10041.3,10047.1,10174,10140.2,10139.2,62.8,10064.1,10057.7,10074.9,10055.5,418.8,384.4,351.9,381.5,218.1
10097.3,10199.8,10045.7,10052.7,10036.6,10034.5,10038.5,10043.9,10201.2,10483.3,417.3,34.7,56.2,38.7,29.9,30.4,30,29.3,29.7,29.8
10012.9,10013.3,10013.5,10023.8,10027.9,10189.2,170.5,216.5,215.9,205.1,216.8,286,474.8,314.6,53.1,90.3,99.9,71.8,80.5,107.5
10100.9,10114.2,10102.2,10050.7,10044.8,10055.9,10051,10035.1,10025.9,10150.4,10159.6,10457.8,337.8,516.5,395.5,38.3,41.6,32.1,29.4,33
10119.2,10162.8,10173.9,10095,10111.3,10116.7,10119.5,10094,10089.6,10147,10187.1,10217.7,398,627.8,628.2,122.9,108.1,112.2,118.4,118.4
10114,10089.4,80.1,74.1,78.8,93.4,78.6,280.5,646,572.1,500.9,458.3,93,230.4,127.9,115,97.7,97.1,83.4,90.4
10058.8,10093.6,10121.3,10016.6,10018.3,10016.5,10014.5,10012.7,10010,10022.1,10013.5,10180.5,10194,10225.9,407.9,302,24.3,17.6,18.1,16.6
10144.2,10092.5,10054.3,10105.7,10092.7,10106.7,10169.2,191.9,191.5,241.9,206.9,194.6,222.2,10258.4,234.8,201.5,207,220,231.4,229.6
10012.8,10017.6,10019.9,317.7,182.9,243.4,156.1,195.6,181.9,189.3,213.8,309,248.6,256,435.2,125.9,97,80.7,109.1,216.3
10064.1,10075,10189.4,10239.2,10217,10220.5,10177.2,10356.3,10237.5,235,152,213.4,162.7,105.6,71.3,131.1,76,55.1,46.2,77.3
10067.8,10073.6,10073.4,10062.7,10056.5,10047.7,10048.2,57.2,91.4,571.5,276.9,329.2,412,382.3,427.8,455.2,197.6,143.8,119.6,89.2
10104.1,10092.4,10105,10121,10138.6,10144.5,193.3,542.9,413.5,422.2,372.7,462.6,481.1,496.6,377,298.4,301.4,405.2,395,417.6
10038.4,10063.2,10059.2,10076.5,10071.2,10051.4,10072,10069.6,10092.1,136.3,194.5,62.4,10173,218.8,206.5,185,262.8,345.4,221,286.2
10241.8,10247.7,10270.6,10233.1,10228.5,218.4,367,402.1,334.8,301.2,276.6,326.4,316,434.4,688.5,572,404.2,228.8,217.3,255.5
10046.8,10048.8,10046.4,10062.8,10043,48.7,155.9,163.7,360.2,476.3,486.6,437.5,475.3,128,139,95.8,97.3,126.2,140,169.5
10131.7,10131.6,10223.5,10320.5,308.7,315.1,389.3,645.9,588.3,532.1,446.7,371.8,183.4,120.3,93.6,87.4,95.5,117.2,129.2,119.5
10342.5,10297.5,10295.8,10285.6,10308.2,330,392.6,301.8,244.9,194.6,211.1,360.4,564.5,495.4,271.6,242.3,222.7,219.2,270.2,292.4
10124.2,10116.5,10131,10201.3,10232.3,10310.8,342.6,326.4,261.3,277.2,359.7,391.3,399,427.9,451.3,418.5,411,471.1,403.3,314.5
